OBJECTID	APREC	PREC	AREA	PERIMETER	Shape__Area	Shape__Length
1	MISSION	19	699582609.2	190817.4957	699582609.2	190817.4957
2	DEVONSHIRE	17	1346816370	175591.7029	1346816370	175591.7029
3	FOOTHILL	16	1297384551	203717.8792	1297384551	203717.8792
4	TOPANGA	21	909032643.8	155505.7955	909032643.8	155505.7955
5	WEST VALLEY	10	936405735.2	136316.8997	936405735.2	136316.8997
6	NORTH HOLLYWOOD	15	634601058.6	187366.2527	634601037.7	187366.2382
7	VAN NUYS	9	489694990.2	116288.3085	489694990.2	116288.3085
8	NORTHEAST	11	815602204.1	178460.7221	815602204.1	178460.7221
9	HOLLYWOOD	6	371835298.2	115808.7471	371835298.2	115808.7471
10	WEST LOS ANGELES	8	1803658584	295206.4155	1803658578	295206.4567
11	HOLLENBECK	4	433032348.8	111317.9529	433032348.8	111317.9529
12	RAMPART	2	154395388.1	63585.30955	154395388.1	63585.30955
13	WILSHIRE	7	327067076.8	100948.3146	327067076.8	100948.3146
14	OLYMPIC	20	174418477.1	62023.56025	174418477.1	62023.56025
15	SOUTHWEST	3	343325464.5	102632.2084	343325464.5	102632.2084
16	NEWTON	13	272376013.4	81476.92285	272376013.4	81476.92285
17	PACIFIC	14	717612851.1	246934.3216	717612855.5	246934.3217
18	77TH STREET	12	315958992	114137.8163	315958992	114137.8163
19	SOUTHEAST	18	261139062	111470.9734	261139062	111470.9734
20	HARBOR	5	892878007.9	272451.1399	892878003.3	272451.1729
21	CENTRAL	1	136747749.7	64187.40659	136747749.7	64187.40659
